universitySlug,nameFa,iscCategory,iscRank,portalAuditStatus,deepAuditStatus,auditEvidenceCoverage,unitsFound,systemsFound,documentsFound,rankingEligibility,dimension_portalIdentity,dimension_organization,dimension_libraryDocuments,dimension_laboratories,dimension_industryTechnology,dimension_systemsServices,dimension_documentsRegulations
jundi-shapur-dezful,دانشگاه صنعتی جندی شاپور دزفول,صنعتی,16,direct-official,deep-audited,100,5,0,39,candidate,verified,verified,verified,verified,verified,verified,verified
hamedan-technology,دانشگاه صنعتی همدان,صنعتی,17,direct-official,deep-audited,100,2,0,40,candidate,verified,verified,verified,verified,verified,verified,verified
khatam-behbahan,دانشگاه صنعتی خاتم الانبیاء بهبهان,صنعتی,17,direct-official,identity-verified-deep-pending,71,17,1,3,unranked-evidence-insufficient,verified,verified,verified,unresolved,unresolved,verified,verified
sirjan-technology,دانشگاه صنعتی سیرجان,صنعتی,19,direct-official,deep-audited,86,28,1,108,candidate,verified,unresolved,verified,verified,verified,verified,verified
mazandaran-science-tech,دانشگاه علم و فناوری مازندران (بهشهر),صنعتی,20,direct-official,deep-audited,86,4,0,26,candidate,verified,unresolved,verified,verified,verified,verified,verified
esfarayen-higher-ed,مجتمع آموزش عالی فنی و مهندسی اسفراین,صنعتی,21,direct-official,identity-verified-deep-pending,43,1,0,40,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,verified,unresolved,verified
birjand-technology,دانشگاه صنعتی بیرجند,صنعتی,22,direct-official,identity-verified-deep-pending,50,1,0,48,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,verified,unresolved,verified
buin-zahra-higher-ed,مرکز آموزش عالی فنی و مهندسی بوئین زهرا,صنعتی,23,direct-official,deep-audited,100,5,0,16,candidate,verified,verified,verified,verified,verified,verified,verified
mahallat-higher-ed,مرکز آموزش عالی محلات,صنعتی,24,direct-official,identity-verified-deep-pending,57,1,1,8,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,verified,verified,verified
gorgan-agri,دانشگاه علوم کشاورزی و منابع طبیعی گرگان,علوم کشاورزی,1,direct-official,deep-audited,86,4,2,51,candidate,verified,verified,verified,unresolved,verified,verified,verified
sari-agri,دانشگاه علوم کشاورزی و منابع طبیعی ساری,علوم کشاورزی,2,direct-official,deep-audited,93,4,1,91,candidate,verified,observed-reference,verified,verified,verified,verified,verified
khuzestan-agri,دانشگاه علوم کشاورزی و منابع طبیعی خوزستان,علوم کشاورزی,3,direct-official,identity-verified-deep-pending,43,0,0,52,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,unresolved,observed-reference,verified
torbat-jam-agri,دانشکده کشاورزی و دامپروری تربت جام,علوم کشاورزی,4,secondary-reference,portal-resolution-pending,43,0,0,12,unranked-evidence-insufficient,unresolved,unresolved,unresolved,verified,verified,unresolved,verified
iran-art,دانشگاه هنر ایران,هنر,1,direct-official,identity-verified-deep-pending,29,0,0,1,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,verified
tabriz-islamic-art,دانشگاه هنر اسلامی تبریز,هنر,2,direct-official,deep-audited,100,4,0,65,candidate,verified,verified,verified,verified,verified,verified,verified
isfahan-art,دانشگاه هنر اصفهان,هنر,3,direct-official,identity-verified-deep-pending,71,2,0,54,unranked-evidence-insufficient,verified,unresolved,verified,verified,verified,unresolved,verified
shiraz-art,دانشگاه هنر شیراز,هنر,4,direct-official,deep-audited,86,4,0,111,candidate,verified,verified,verified,verified,unresolved,verified,verified
payame-noor,دانشگاه پیام نور,زیرنظام,1,direct-official,identity-verified-deep-pending,57,1,1,24,unranked-evidence-insufficient,verified,unresolved,verified,unresolved,unresolved,verified,verified
national-skills,دانشگاه ملی مهارت,زیرنظام,2,official-reference,reference-resolved-deep-pending,7,0,0,0,unranked-evidence-insufficient,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
farhangian,دانشگاه فرهنگیان,زیرنظام,3,direct-official,identity-verified-deep-pending,64,0,1,20,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,verified,verified,verified
applied-science,دانشگاه جامع علمی کاربردی,زیرنظام,4,direct-official,identity-verified-deep-pending,64,0,0,28,unranked-evidence-insufficient,verified,observed-reference,verified,unresolved,verified,unresolved,verified
imam-hossein,دانشگاه جامع امام حسین (ع),دستگاه اجرایی,1,direct-official,identity-verified-deep-pending,21,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,observed-reference,unresolved,unresolved
shahed,دانشگاه شاهد,دستگاه اجرایی,2,direct-official,deep-audited,100,13,2,40,candidate,verified,verified,verified,verified,verified,verified,verified
malek-ashtar,دانشگاه صنعتی مالک اشتر,دستگاه اجرایی,3,restricted-public,restricted-closed,100,0,0,0,unranked-evidence-insufficient,restricted,restricted,restricted,restricted,restricted,restricted,restricted
shahid-rajaee,دانشگاه تربیت دبیر شهید رجایی,دستگاه اجرایی,4,direct-official,deep-audited,86,3,0,83,candidate,verified,unresolved,verified,verified,verified,verified,verified
aja-command,دانشگاه فرماندهی و ستاد آجا (دافوس),دستگاه اجرایی,5,restricted-public,restricted-closed,100,0,0,0,unranked-evidence-insufficient,restricted,restricted,restricted,restricted,restricted,restricted,restricted
national-defense,دانشگاه عالی دفاع ملی,دستگاه اجرایی,6,direct-official,identity-verified-deep-pending,71,3,0,3,unranked-evidence-insufficient,verified,observed-reference,verified,unresolved,verified,observed-reference,verified
amin-police,دانشگاه علوم انتظامی امین,دستگاه اجرایی,7,restricted-public,restricted-closed,100,0,0,0,unranked-evidence-insufficient,restricted,restricted,restricted,restricted,restricted,restricted,restricted
petroleum,دانشگاه صنعت نفت,دستگاه اجرایی,8,direct-official,deep-audited,93,2,1,47,candidate,verified,observed-reference,verified,verified,verified,verified,verified
irib,دانشگاه صدا و سیمای جمهوری اسلامی ایران,دستگاه اجرایی,9,institutional-reference,reference-resolved-deep-pending,21,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,observed-reference,unresolved,unresolved
civil-aviation,مرکز آموزش عالی هوانوردی و فرودگاهی کشور,دستگاه اجرایی,10,legacy-restricted,restricted-closed,100,0,0,0,unranked-evidence-insufficient,restricted,restricted,restricted,restricted,restricted,restricted,restricted
