universitySlug,nameFa,iscCategory,iscRank,auditDate,portalAuditStatus,researchUrl,evidenceUrls,note,scoreEligibility
urmia,دانشگاه ارومیه,جامع,14,2026-08-11,official-reference,,https://www.urmia.ac.ir/ | https://www.urmia.ac.ir/structure,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. هویت معاون پژوهش و فناوری در منبع دانشگاهی/رسمی تأیید شده است.,unranked
semnan,دانشگاه سمنان,جامع,15,2026-08-11,direct-official,https://research.semnan.ac.ir/,https://research.semnan.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
sistan-baluchestan,دانشگاه سیستان و بلوچستان,جامع,16,2026-08-11,secondary-reference,,https://www.usb.ac.ir/%D9%85%DB%8C%D8%B2%D8%AE%D8%AF%D9%85%D8%AA/%D9%85%DB%8C%D8%B2-%D8%AE%D8%AF%D9%85%D8%AA-%D8%A7%D8%B9%D8%B6%D8%A7%DB%8C-%D9%87%DB%8C%D8%A7%D8%AA-%D8%B9%D9%84%D9%85%DB%8C/%D9%BE%DA%98%D9%88%D9%87%D8%B4-%D9%88-%D9%81%D9%86%D8%A7%D9%88%D8%B1%DB%8C | https://www.usb.ac.ir/FileUpload/9992_2026-5-4-10-55-5.pdf,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
yazd,دانشگاه یزد,جامع,17,2026-08-11,direct-official,https://yazd.ac.ir/offices/research/home/introduction,https://yazd.ac.ir/ | https://yazd.ac.ir/offices/research/home/introduction | https://yazd.ac.ir/%D9%85%D8%B9%D8%A7%D9%88%D9%86-%D9%BE%DA%98%D9%88%D9%87%D8%B4-%D9%88-%D9%81%D9%86%D8%A7%D9%88%D8%B1%DB%8C,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
mohaghegh-ardabili,دانشگاه محقق اردبیلی,جامع,18,2026-08-11,direct-official,https://uma.ac.ir/find-8.270.2596.fa.html,https://uma.ac.ir/ | https://uma.ac.ir/find-8.270.2596.fa.html | https://uma.ac.ir/find.php?item=8.5244.13832.fa | https://uma.ac.ir/content/32005/%D8%A2%DB%8C%DB%8C%D9%86%E2%80%8C%D9%86%D8%A7%D9%85%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C-%D9%BE%DA%98%D9%88%D9%87%D8%B4%DB%8C,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
kurdistan,دانشگاه کردستان,جامع,19,2026-08-11,direct-official,https://uok.ac.ir/web/research-and-innovation,https://uok.ac.ir/ | https://uok.ac.ir/web/research-and-innovation | https://uok.ac.ir/web/research-and-innovation/organizational-chart | https://research.uok.ac.ir/ | https://uok.ac.ir/web/research-and-innovation/research-forms-regulations,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
shahid-chamran-ahvaz,دانشگاه شهید چمران اهواز,جامع,20,2026-08-11,direct-official,https://research.scu.ac.ir/,https://research.scu.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
kashan,دانشگاه کاشان,جامع,21,2026-08-11,direct-official,https://research.kashanu.ac.ir/,https://research.kashanu.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
shahrekord,دانشگاه شهرکرد,جامع,22,2026-08-11,direct-official,https://www.sku.ac.ir/Vice-President/research,https://www.sku.ac.ir/Vice-President/research | https://www.sku.ac.ir/Datafiles/UploadedFiles/UserFiles/2015116151928_aeennameh89.pdf,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
bu-ali-sina,دانشگاه بوعلی سینا,جامع,23,2026-08-11,direct-official,https://res.basu.ac.ir/,https://t.me/s/basuacir | https://res.basu.ac.ir/ | https://res.basu.ac.ir/journals-regulations/-/document_library/ocki/view/3692745,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
qom,دانشگاه قم,جامع,23,2026-08-11,direct-official,https://research.qom.ac.ir/,https://research.qom.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
alzahra,دانشگاه الزهرا (س),جامع,25,2026-08-11,direct-official,https://research.alzahra.ac.ir/,https://research.alzahra.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
mazandaran,دانشگاه مازندران,جامع,26,2026-08-11,direct-official,https://research.umz.ac.ir/,https://umz.ac.ir/ | https://research.umz.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
imam-khomeini-international,دانشگاه بین المللی امام خمینی (ره),جامع,27,2026-08-11,official-reference,,https://ikiu.ac.ir/,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. هویت حوزه پژوهشی در منابع دانشگاهی تأیید شده، پرتال مستقیم نیازمند تثبیت است.,unranked
persian-gulf,دانشگاه خلیج فارس,جامع,28,2026-08-11,direct-official,https://pgu.ac.ir/fa/researchdeputy,https://t.me/s/pgu_pr | https://pgu.ac.ir/fa/researchdeputy,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
zanjan,دانشگاه زنجان,جامع,29,2026-08-11,direct-official,https://research.znu.ac.ir/,https://research.znu.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
ilam,دانشگاه ایلام,جامع,30,2026-08-11,direct-official,https://www.ilam.ac.ir/dep/research/,https://t.me/ilamac | https://www.ilam.ac.ir/dep/research/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,2026-08-11,official-reference,,https://t.me/hakimUniversity,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. کانال دانشگاه حکیم سبزواری معاونت پژوهش و فناوری را صریحاً معرفی می‌کند.,unranked
arak,دانشگاه اراک,جامع,32,2026-08-11,direct-official,https://research.araku.ac.ir/,https://research.araku.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,2026-08-11,official-reference,,https://t.me/asmukarafarini,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. کانال رسمی مرکز وابسته دانشگاه، برنامه‌های معاونت پژوهش و فناوری را منتشر کرده است.,unranked
birjand,دانشگاه بیرجند,جامع,34,2026-08-11,direct-official,https://birjand.ac.ir/research/fa,https://birjand.ac.ir/research/fa | https://birjand.ac.ir/graduate/fa/regulation,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
lorestan,دانشگاه لرستان,جامع,36,2026-08-11,direct-official,https://research.lu.ac.ir/,https://research.lu.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
maragheh,دانشگاه مراغه,جامع,37,2026-08-11,direct-official,https://rtm.maragheh.ac.ir/,https://www.maragheh.ac.ir/fa/article/3289452 | https://www.maragheh.ac.ir/fa/article/3224206 | https://rtm.maragheh.ac.ir/postdoc | https://rtm.maragheh.ac.ir/ | https://res.maragheh.ac.ir/_Pages/Regulations/Default.aspx | https://res.maragheh.ac.ir/_Pages/FileDownloadHandler.aspx?Code=9750ea80-7c7d-4917-ba1b-eb366b50d22f&FileName=Saramadan-researchers+%D9%8D+Editted+Aban+1404.pdf,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
zabol,دانشگاه زابل,جامع,38,2026-08-11,direct-official,https://uoz.ac.ir/prt/,https://uoz.ac.ir/prt/ | https://uoz.ac.ir/file/download/page/1671355345-20221116-121542.pdf,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
yasouj,دانشگاه یاسوج,جامع,38,2026-08-11,direct-official,https://yu.ac.ir/fa/res/,https://yu.ac.ir/fa/natak/content/2608 | https://yu.ac.ir/fa/res/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
damghan,دانشگاه دامغان,جامع,40,2026-08-11,official-channel-reference,,https://t.me/s/duacir/24485,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
bonab,دانشگاه بناب,جامع,41,2026-08-11,direct-official,https://research.ubonab.ac.ir/,https://research.ubonab.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
golestan,دانشگاه گلستان,جامع,42,2026-08-11,direct-official,https://gu.ac.ir/research/,https://t.me/s/Guresearch | https://gu.ac.ir/research/ | https://gu.ac.ir/file/93866315-04dc-ec11-9ed6-005056998f1e/14010228%20final%20bartar%20policy.pdf,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
hormozgan,دانشگاه هرمزگان,جامع,42,2026-08-11,direct-official,https://www.hormozgan.ac.ir/home/index/10/28/373,https://www.hormozgan.ac.ir/home/index/10/28/373,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
tafresh,دانشگاه تفرش,جامع,44,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
ardakan,دانشگاه اردکان,جامع,44,2026-08-11,false-positive-blocked,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. نتایج شاخص جست‌وجو به نهاد همنام دیگری (آزاد/پزشکی/واحد نامرتبط) مربوط بود؛ false-positive مسدود شد و نبود پرتال نتیجه‌گیری نمی‌شود.,unranked
fasa,دانشگاه فسا,جامع,46,2026-08-11,false-positive-blocked,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. نتایج شاخص جست‌وجو به نهاد همنام دیگری (آزاد/پزشکی/واحد نامرتبط) مربوط بود؛ false-positive مسدود شد و نبود پرتال نتیجه‌گیری نمی‌شود.,unranked
ayatollah-borujerdi,دانشگاه آیت الله العظمی بروجردی (ره),جامع,46,2026-08-11,institutional-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
bojnord,دانشگاه بجنورد,جامع,46,2026-08-11,direct-official,https://vr.ub.ac.ir/,https://vr.ub.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
khorramshahr-marine,دانشگاه علوم و فنون دریایی خرمشهر,جامع,49,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
