universitySlug,nameFa,iscCategory,iscRank,portalAuditStatus,deepAuditStatus,auditEvidenceCoverage,unitsFound,systemsFound,documentsFound,rankingEligibility,dimension_portalIdentity,dimension_organization,dimension_libraryDocuments,dimension_laboratories,dimension_industryTechnology,dimension_informationTechnology,dimension_systemsServices,dimension_documentsRegulations
sistan-baluchestan,دانشگاه سیستان و بلوچستان,جامع,16,secondary-reference,portal-resolution-pending,13,0,0,2,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,verified
yazd,دانشگاه یزد,جامع,17,direct-official,identity-verified-deep-pending,13,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
mohaghegh-ardabili,دانشگاه محقق اردبیلی,جامع,18,direct-official,identity-verified-deep-pending,25,0,0,1,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,verified
kurdistan,دانشگاه کردستان,جامع,19,direct-official,identity-verified-deep-pending,25,0,0,1,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,verified
shahid-chamran-ahvaz,دانشگاه شهید چمران اهواز,جامع,20,direct-official,deep-audited,88,7,2,0,candidate,verified,verified,verified,verified,verified,verified,verified,unresolved
kashan,دانشگاه کاشان,جامع,21,direct-official,identity-verified-deep-pending,13,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
shahrekord,دانشگاه شهرکرد,جامع,22,direct-official,identity-verified-deep-pending,25,0,0,1,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,verified
bu-ali-sina,دانشگاه بوعلی سینا,جامع,23,direct-official,identity-verified-deep-pending,31,0,0,1,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,verified
qom,دانشگاه قم,جامع,23,direct-official,deep-audited,75,10,3,0,candidate,verified,verified,verified,verified,verified,unresolved,verified,unresolved
alzahra,دانشگاه الزهرا (س),جامع,25,direct-official,deep-audited,75,7,5,0,candidate,verified,verified,verified,verified,verified,unresolved,verified,unresolved
mazandaran,دانشگاه مازندران,جامع,26,direct-official,identity-verified-deep-pending,19,0,0,0,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
imam-khomeini-international,دانشگاه بین المللی امام خمینی (ره),جامع,27,official-reference,reference-resolved-deep-pending,6,0,0,0,unranked-evidence-insufficient,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
persian-gulf,دانشگاه خلیج فارس,جامع,28,direct-official,identity-verified-deep-pending,25,0,0,0,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,observed-reference,unresolved,unresolved,unresolved
zanjan,دانشگاه زنجان,جامع,29,direct-official,deep-audited,75,5,0,0,candidate,verified,verified,verified,verified,verified,verified,unresolved,unresolved
ilam,دانشگاه ایلام,جامع,30,direct-official,identity-verified-deep-pending,13,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,official-reference,reference-resolved-deep-pending,6,0,0,0,unranked-evidence-insufficient,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
arak,دانشگاه اراک,جامع,32,direct-official,deep-audited,88,8,4,0,candidate,verified,verified,verified,verified,verified,verified,verified,unresolved
azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,official-reference,reference-resolved-deep-pending,6,0,0,0,unranked-evidence-insufficient,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
birjand,دانشگاه بیرجند,جامع,34,direct-official,identity-verified-deep-pending,25,0,0,1,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,verified
vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
lorestan,دانشگاه لرستان,جامع,36,direct-official,identity-verified-deep-pending,13,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
maragheh,دانشگاه مراغه,جامع,37,direct-official,identity-verified-deep-pending,44,0,0,2,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,observed-reference,unresolved,observed-reference,verified
zabol,دانشگاه زابل,جامع,38,direct-official,identity-verified-deep-pending,25,0,0,1,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,verified
yasouj,دانشگاه یاسوج,جامع,38,direct-official,identity-verified-deep-pending,19,0,0,0,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
damghan,دانشگاه دامغان,جامع,40,official-channel-reference,reference-resolved-deep-pending,19,0,0,0,unranked-evidence-insufficient,observed-reference,unresolved,observed-reference,unresolved,observed-reference,unresolved,unresolved,unresolved
bonab,دانشگاه بناب,جامع,41,direct-official,identity-verified-deep-pending,13,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
golestan,دانشگاه گلستان,جامع,42,direct-official,identity-verified-deep-pending,31,0,0,1,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,verified
hormozgan,دانشگاه هرمزگان,جامع,42,direct-official,identity-verified-deep-pending,13,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
tafresh,دانشگاه تفرش,جامع,44,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
ardakan,دانشگاه اردکان,جامع,44,false-positive-blocked,blocked-needs-alternative-discovery,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
fasa,دانشگاه فسا,جامع,46,false-positive-blocked,blocked-needs-alternative-discovery,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
ayatollah-borujerdi,دانشگاه آیت الله العظمی بروجردی (ره),جامع,46,institutional-reference,reference-resolved-deep-pending,25,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,observed-reference,observed-reference,unresolved,unresolved,unresolved
bojnord,دانشگاه بجنورد,جامع,46,direct-official,identity-verified-deep-pending,25,0,0,0,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,observed-reference,unresolved,unresolved,unresolved
khorramshahr-marine,دانشگاه علوم و فنون دریایی خرمشهر,جامع,49,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
meybod,دانشگاه میبد,جامع,50,official-channel-reference,reference-resolved-deep-pending,19,0,0,0,unranked-evidence-insufficient,observed-reference,unresolved,unresolved,observed-reference,observed-reference,unresolved,unresolved,unresolved
bozorgmehr-qaenat,دانشگاه بزرگمهر قائنات,جامع,51,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
chabahar-maritime,دانشگاه دریانوردی و علوم دریایی چابهار,جامع,51,credible-secondary-reference,reference-resolved-deep-pending,19,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,observed-reference,unresolved,unresolved,unresolved
velayat,دانشگاه ولایت,جامع,53,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
amol-special-tech,دانشگاه تخصصی فناوری های نوین آمل,جامع,54,official-channel-reference,reference-resolved-deep-pending,25,0,0,1,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,verified
malayer,دانشگاه ملایر,جامع,55,official-domain-reference,reference-resolved-deep-pending,31,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,observed-reference,observed-reference,unresolved,unresolved,observed-reference,unresolved
gonbad-kavous,دانشگاه گنبد کاووس,جامع,56,official-channel-reference,reference-resolved-deep-pending,13,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
torbat-heydarieh,دانشگاه تربت حیدریه,جامع,57,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
hazrat-masoumeh,دانشگاه حضرت معصومه (س),جامع,58,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
jahrom,دانشگاه جهرم,جامع,59,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
kosar,دانشگاه کوثر,جامع,60,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
jiroft,دانشگاه جیرفت,جامع,61,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
salman-farsi-kazerun,دانشگاه سلمان فارسی کازرون,جامع,62,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
lar-higher-ed,مرکز آموزش عالی لار,جامع,62,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
gonabad-higher-ed,مجتمع آموزش عالی گناباد,جامع,64,institutional-reference,reference-resolved-deep-pending,13,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
bam-higher-ed,مجتمع آموزش عالی بم,جامع,65,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
neyshabur,دانشگاه نیشابور,جامع,66,false-positive-blocked,blocked-needs-alternative-discovery,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
eghlid-higher-ed,مرکز آموزش عالی اقلید,جامع,67,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
kashmar-higher-ed,مرکز آموزش عالی کاشمر,جامع,68,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
seyed-jamaleddin-asadabadi,دانشگاه سید جمال الدین اسدآبادی,جامع,68,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
iust,دانشگاه علم و صنعت ایران,صنعتی,1,direct-official,deep-audited,81,5,11,1,candidate,verified,verified,observed-reference,verified,verified,unresolved,verified,verified
sharif,دانشگاه صنعتی شریف,صنعتی,2,direct-official,deep-audited,88,7,3,2,candidate,verified,verified,verified,verified,verified,unresolved,verified,verified
amirkabir,دانشگاه صنعتی امیرکبیر,صنعتی,3,direct-official,deep-audited,75,5,5,0,candidate,verified,verified,verified,verified,verified,unresolved,verified,unresolved
kntu,دانشگاه صنعتی خواجه نصیرالدین طوسی,صنعتی,4,direct-official,deep-audited,88,7,6,1,candidate,verified,verified,verified,verified,verified,unresolved,verified,verified
isfahan-technology,دانشگاه صنعتی اصفهان,صنعتی,5,direct-official,deep-audited,100,8,5,6,candidate,verified,verified,verified,verified,verified,verified,verified,verified
shahrood-technology,دانشگاه صنعتی شاهرود,صنعتی,6,direct-official,identity-verified-deep-pending,38,0,0,1,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,unresolved,unresolved,observed-reference,verified
babol-noshirvani,دانشگاه صنعتی نوشیروانی بابل,صنعتی,7,direct-official,identity-verified-deep-pending,50,0,0,1,unranked-evidence-insufficient,verified,observed-reference,observed-reference,unresolved,observed-reference,observed-reference,unresolved,verified
sahand,دانشگاه صنعتی سهند,صنعتی,8,direct-official,identity-verified-deep-pending,31,0,0,0,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,unresolved,unresolved,observed-reference,observed-reference
shiraz-technology,دانشگاه صنعتی شیراز,صنعتی,9,institutional-reference,reference-resolved-deep-pending,13,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
kgut,دانشگاه تحصیلات تکمیلی صنعتی و فناوری پیشرفته کرمان,صنعتی,10,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
urmia-technology,دانشگاه صنعتی ارومیه,صنعتی,11,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
qochan-technology,دانشگاه صنعتی قوچان,صنعتی,12,direct-official,identity-verified-deep-pending,19,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,observed-reference,unresolved,unresolved,unresolved
arak-technology,دانشگاه صنعتی اراک,صنعتی,13,official-channel-reference,reference-resolved-deep-pending,13,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
kermanshah-technology,دانشگاه صنعتی کرمانشاه,صنعتی,14,direct-official,identity-verified-deep-pending,25,0,0,1,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,verified
qom-technology,دانشگاه صنعتی قم,صنعتی,15,direct-official,deep-audited,88,6,4,3,candidate,verified,verified,verified,verified,verified,unresolved,verified,verified
jundi-shapur-dezful,دانشگاه صنعتی جندی شاپور دزفول,صنعتی,16,official-channel-reference,reference-resolved-deep-pending,13,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
hamedan-technology,دانشگاه صنعتی همدان,صنعتی,17,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
khatam-behbahan,دانشگاه صنعتی خاتم الانبیاء بهبهان,صنعتی,17,false-positive-blocked,blocked-needs-alternative-discovery,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
sirjan-technology,دانشگاه صنعتی سیرجان,صنعتی,19,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
mazandaran-science-tech,دانشگاه علم و فناوری مازندران (بهشهر),صنعتی,20,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
esfarayen-higher-ed,مجتمع آموزش عالی فنی و مهندسی اسفراین,صنعتی,21,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
birjand-technology,دانشگاه صنعتی بیرجند,صنعتی,22,direct-official,identity-verified-deep-pending,25,0,0,0,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,observed-reference,unresolved,unresolved,unresolved
buin-zahra-higher-ed,مرکز آموزش عالی فنی و مهندسی بوئین زهرا,صنعتی,23,institutional-reference,reference-resolved-deep-pending,19,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,observed-reference,unresolved,unresolved,unresolved,unresolved
mahallat-higher-ed,مرکز آموزش عالی محلات,صنعتی,24,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
gorgan-agri,دانشگاه علوم کشاورزی و منابع طبیعی گرگان,علوم کشاورزی,1,official-channel-reference,reference-resolved-deep-pending,13,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
sari-agri,دانشگاه علوم کشاورزی و منابع طبیعی ساری,علوم کشاورزی,2,ministry-reference,reference-resolved-deep-pending,25,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,observed-reference,unresolved,observed-reference,unresolved,unresolved,unresolved
khuzestan-agri,دانشگاه علوم کشاورزی و منابع طبیعی خوزستان,علوم کشاورزی,3,institutional-reference,reference-resolved-deep-pending,31,0,0,2,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,unresolved,unresolved,observed-reference,verified
torbat-jam-agri,دانشکده کشاورزی و دامپروری تربت جام,علوم کشاورزی,4,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
iran-art,دانشگاه هنر ایران,هنر,1,direct-official,deep-audited,100,6,5,6,candidate,verified,verified,verified,verified,verified,verified,verified,verified
tabriz-islamic-art,دانشگاه هنر اسلامی تبریز,هنر,2,official-reference,reference-resolved-deep-pending,19,0,0,1,unranked-evidence-insufficient,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,verified
isfahan-art,دانشگاه هنر اصفهان,هنر,3,official-reference,reference-resolved-deep-pending,6,0,0,0,unranked-evidence-insufficient,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
shiraz-art,دانشگاه هنر شیراز,هنر,4,institutional-reference,reference-resolved-deep-pending,13,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
payame-noor,دانشگاه پیام نور,زیرنظام,1,official-reference,reference-resolved-deep-pending,6,0,0,0,unranked-evidence-insufficient,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
national-skills,دانشگاه ملی مهارت,زیرنظام,2,official-reference,reference-resolved-deep-pending,6,0,0,0,unranked-evidence-insufficient,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
farhangian,دانشگاه فرهنگیان,زیرنظام,3,direct-official,identity-verified-deep-pending,25,0,0,0,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,unresolved,unresolved,observed-reference,unresolved
applied-science,دانشگاه جامع علمی کاربردی,زیرنظام,4,official-reference,reference-resolved-deep-pending,19,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,observed-reference,unresolved,unresolved,unresolved
imam-hossein,دانشگاه جامع امام حسین (ع),دستگاه اجرایی,1,restricted-official-reference,restricted-closed,100,0,0,0,unranked-evidence-insufficient,restricted,restricted,restricted,restricted,restricted,restricted,restricted,restricted
shahed,دانشگاه شاهد,دستگاه اجرایی,2,direct-official,deep-audited,88,8,3,1,candidate,verified,verified,verified,verified,verified,unresolved,verified,verified
malek-ashtar,دانشگاه صنعتی مالک اشتر,دستگاه اجرایی,3,restricted-public,restricted-closed,100,0,0,0,unranked-evidence-insufficient,restricted,restricted,restricted,restricted,restricted,restricted,restricted,restricted
shahid-rajaee,دانشگاه تربیت دبیر شهید رجایی,دستگاه اجرایی,4,direct-official,identity-verified-deep-pending,25,0,0,1,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,verified
aja-command,دانشگاه فرماندهی و ستاد آجا (دافوس),دستگاه اجرایی,5,restricted-public,restricted-closed,100,0,0,0,unranked-evidence-insufficient,restricted,restricted,restricted,restricted,restricted,restricted,restricted,restricted
national-defense,دانشگاه عالی دفاع ملی,دستگاه اجرایی,6,restricted-official-reference,restricted-closed,100,0,0,1,unranked-evidence-insufficient,restricted,restricted,restricted,restricted,restricted,restricted,restricted,restricted
amin-police,دانشگاه علوم انتظامی امین,دستگاه اجرایی,7,restricted-public,restricted-closed,100,0,0,0,unranked-evidence-insufficient,restricted,restricted,restricted,restricted,restricted,restricted,restricted,restricted
petroleum,دانشگاه صنعت نفت,دستگاه اجرایی,8,direct-official,identity-verified-deep-pending,25,0,0,0,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,observed-reference,unresolved,unresolved,unresolved
irib,دانشگاه صدا و سیمای جمهوری اسلامی ایران,دستگاه اجرایی,9,institutional-reference,reference-resolved-deep-pending,19,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,observed-reference,unresolved,unresolved,unresolved
civil-aviation,مرکز آموزش عالی هوانوردی و فرودگاهی کشور,دستگاه اجرایی,10,legacy-restricted,restricted-closed,100,0,0,0,unranked-evidence-insufficient,restricted,restricted,restricted,restricted,restricted,restricted,restricted,restricted
