id,universitySlug,nameFa,iscCategory,iscRank,dimension,status,reportedStatus,publicationAdjustment,reviewOutcome,reviewedAt,sourceCount,sourceKinds,sourceUrls,verificationBasis,missingDataRule
ferdowsi:organization,ferdowsi,دانشگاه فردوسی مشهد,جامع,3,organization,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://vpr.um.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
ferdowsi:libraryDocuments,ferdowsi,دانشگاه فردوسی مشهد,جامع,3,libraryDocuments,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://vpr.um.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
ferdowsi:laboratories,ferdowsi,دانشگاه فردوسی مشهد,جامع,3,laboratories,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://vpr.um.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
ferdowsi:industryTechnology,ferdowsi,دانشگاه فردوسی مشهد,جامع,3,industryTechnology,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://vpr.um.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
ferdowsi:informationTechnology,ferdowsi,دانشگاه فردوسی مشهد,جامع,3,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
ferdowsi:systemsServices,ferdowsi,دانشگاه فردوسی مشهد,جامع,3,systemsServices,verified,verified,,evidence-confirmed,2026-08-10,1,system,https://vpr.um.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
ferdowsi:documentsRegulations,ferdowsi,دانشگاه فردوسی مشهد,جامع,3,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shahid-beheshti:portalIdentity,shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,2,portal-identity | research-review-specific,https://sbu.ac.ir/ | https://resevp.sbu.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
shahid-beheshti:organization,shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,organization,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
shahid-beheshti:libraryDocuments,shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,2,research-review-specific | research-review-specific,https://press.sbu.ac.ir/ | https://scj.sbu.ac.ir/,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shahid-beheshti:laboratories,shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shahid-beheshti:industryTechnology,shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,industryTechnology,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
shahid-beheshti:informationTechnology,shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shahid-beheshti:systemsServices,shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,systemsServices,verified,verified,,evidence-confirmed,2026-08-10,1,research-review-specific,https://scj.sbu.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
shahid-beheshti:documentsRegulations,shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shiraz:portalIdentity,shiraz,دانشگاه شیراز,جامع,5,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,2,portal-identity | research-review-specific,https://law.shirazu.ac.ir/ | https://research.shirazu.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
shiraz:organization,shiraz,دانشگاه شیراز,جامع,5,organization,observed-reference,verified,Downgraded because no dimension-specific public URL was registered.,reference-only,2026-08-10,1,research-review-reference,https://research.shirazu.ac.ir/,Downgraded because no dimension-specific public URL was registered.,Unresolved is not absence and is never automatically scored as zero.
shiraz:libraryDocuments,shiraz,دانشگاه شیراز,جامع,5,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shiraz:laboratories,shiraz,دانشگاه شیراز,جامع,5,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shiraz:industryTechnology,shiraz,دانشگاه شیراز,جامع,5,industryTechnology,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
shiraz:informationTechnology,shiraz,دانشگاه شیراز,جامع,5,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shiraz:systemsServices,shiraz,دانشگاه شیراز,جامع,5,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shiraz:documentsRegulations,shiraz,دانشگاه شیراز,جامع,5,documentsRegulations,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
tabriz:portalIdentity,tabriz,دانشگاه تبریز,جامع,6,portalIdentity,observed-reference,observed-reference,,reference-only,2026-08-10,1,portal-identity,https://tabrizu.ac.ir/,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
tabriz:organization,tabriz,دانشگاه تبریز,جامع,6,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tabriz:libraryDocuments,tabriz,دانشگاه تبریز,جامع,6,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tabriz:laboratories,tabriz,دانشگاه تبریز,جامع,6,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tabriz:industryTechnology,tabriz,دانشگاه تبریز,جامع,6,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tabriz:informationTechnology,tabriz,دانشگاه تبریز,جامع,6,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tabriz:systemsServices,tabriz,دانشگاه تبریز,جامع,6,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tabriz:documentsRegulations,tabriz,دانشگاه تبریز,جامع,6,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
isfahan:portalIdentity,isfahan,دانشگاه اصفهان,جامع,7,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,1,portal-identity,https://research.ui.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
isfahan:organization,isfahan,دانشگاه اصفهان,جامع,7,organization,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.ui.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
isfahan:libraryDocuments,isfahan,دانشگاه اصفهان,جامع,7,libraryDocuments,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.ui.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
isfahan:laboratories,isfahan,دانشگاه اصفهان,جامع,7,laboratories,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.ui.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
isfahan:industryTechnology,isfahan,دانشگاه اصفهان,جامع,7,industryTechnology,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.ui.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
isfahan:informationTechnology,isfahan,دانشگاه اصفهان,جامع,7,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
isfahan:systemsServices,isfahan,دانشگاه اصفهان,جامع,7,systemsServices,verified,verified,,evidence-confirmed,2026-08-10,1,system,https://research.ui.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
isfahan:documentsRegulations,isfahan,دانشگاه اصفهان,جامع,7,documentsRegulations,verified,verified,,evidence-confirmed,2026-08-10,1,document,https://research.ui.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
razi:portalIdentity,razi,دانشگاه رازی,جامع,8,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,2,portal-identity | research-review-specific,https://t.me/hambazi_razi | https://are.razi.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
razi:organization,razi,دانشگاه رازی,جامع,8,organization,verified,verified,,evidence-confirmed,2026-08-10,1,research-review-specific,https://are.razi.ac.ir/%D9%85%D8%AF%DB%8C%D8%B1%DB%8C%D8%AA-%D8%A7%D9%85%D9%88%D8%B1-%D9%BE%DA%98%D9%88%D9%87%D8%B4%DB%8C,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
razi:libraryDocuments,razi,دانشگاه رازی,جامع,8,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
razi:laboratories,razi,دانشگاه رازی,جامع,8,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
razi:industryTechnology,razi,دانشگاه رازی,جامع,8,industryTechnology,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
razi:informationTechnology,razi,دانشگاه رازی,جامع,8,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
razi:systemsServices,razi,دانشگاه رازی,جامع,8,systemsServices,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
razi:documentsRegulations,razi,دانشگاه رازی,جامع,8,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
iasbs:portalIdentity,iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,portalIdentity,observed-reference,observed-reference,,reference-only,2026-08-10,3,portal-identity | portal-identity | portal-identity,https://t.me/iasbspr | https://iasbs.ac.ir/ | https://zrtf.ir/%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%AA%D8%AD%D8%B5%DB%8C%D9%84%D8%A7%D8%AA-%D8%AA%DA%A9%D9%85%DB%8C%D9%84%DB%8C-%D8%B9%D9%84%D9%88%D9%85-%D9%BE%D8%A7%DB%8C%D9%87/,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
iasbs:organization,iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,organization,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
iasbs:libraryDocuments,iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
iasbs:laboratories,iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,laboratories,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
iasbs:industryTechnology,iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,industryTechnology,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
iasbs:informationTechnology,iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
iasbs:systemsServices,iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
iasbs:documentsRegulations,iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
kharazmi:portalIdentity,kharazmi,دانشگاه خوارزمی,جامع,10,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,1,portal-identity,https://research.khu.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
kharazmi:organization,kharazmi,دانشگاه خوارزمی,جامع,10,organization,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.khu.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
kharazmi:libraryDocuments,kharazmi,دانشگاه خوارزمی,جامع,10,libraryDocuments,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.khu.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
kharazmi:laboratories,kharazmi,دانشگاه خوارزمی,جامع,10,laboratories,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.khu.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
kharazmi:industryTechnology,kharazmi,دانشگاه خوارزمی,جامع,10,industryTechnology,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.khu.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
kharazmi:informationTechnology,kharazmi,دانشگاه خوارزمی,جامع,10,informationTechnology,observed-reference,verified,Downgraded until a source proving organizational IT dependency is registered.,reference-only,2026-08-10,1,unit,https://research.khu.ac.ir/,Downgraded until a source proving organizational IT dependency is registered.,Unresolved is not absence and is never automatically scored as zero.
kharazmi:systemsServices,kharazmi,دانشگاه خوارزمی,جامع,10,systemsServices,verified,verified,,evidence-confirmed,2026-08-10,1,system,https://research.khu.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
kharazmi:documentsRegulations,kharazmi,دانشگاه خوارزمی,جامع,10,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
allameh:portalIdentity,allameh,دانشگاه علامه طباطبایی,جامع,11,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,1,portal-identity,https://research.atu.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
allameh:organization,allameh,دانشگاه علامه طباطبایی,جامع,11,organization,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.atu.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
allameh:libraryDocuments,allameh,دانشگاه علامه طباطبایی,جامع,11,libraryDocuments,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.atu.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
allameh:laboratories,allameh,دانشگاه علامه طباطبایی,جامع,11,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
allameh:industryTechnology,allameh,دانشگاه علامه طباطبایی,جامع,11,industryTechnology,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.atu.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
allameh:informationTechnology,allameh,دانشگاه علامه طباطبایی,جامع,11,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
allameh:systemsServices,allameh,دانشگاه علامه طباطبایی,جامع,11,systemsServices,verified,verified,,evidence-confirmed,2026-08-10,1,system,https://research.atu.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
allameh:documentsRegulations,allameh,دانشگاه علامه طباطبایی,جامع,11,documentsRegulations,verified,verified,,evidence-confirmed,2026-08-10,1,document,https://research.atu.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
shahid-bahonar-kerman:portalIdentity,shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,portalIdentity,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,1,portal-identity,https://t.me/Sbukerman_official,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shahid-bahonar-kerman:organization,shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shahid-bahonar-kerman:libraryDocuments,shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shahid-bahonar-kerman:laboratories,shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shahid-bahonar-kerman:industryTechnology,shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shahid-bahonar-kerman:informationTechnology,shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shahid-bahonar-kerman:systemsServices,shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
shahid-bahonar-kerman:documentsRegulations,shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
guilan:portalIdentity,guilan,دانشگاه گیلان,جامع,13,portalIdentity,observed-reference,observed-reference,,reference-only,2026-08-10,1,portal-identity,https://guilan.ac.ir/,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
guilan:organization,guilan,دانشگاه گیلان,جامع,13,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
guilan:libraryDocuments,guilan,دانشگاه گیلان,جامع,13,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
guilan:laboratories,guilan,دانشگاه گیلان,جامع,13,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
guilan:industryTechnology,guilan,دانشگاه گیلان,جامع,13,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
