id,universitySlug,nameFa,category,url,relation,sourceUrl,evidence,lastVerified
isfahan-research-system,isfahan,سامانه پژوهش,research,,unit-service,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-sate,isfahan,سامانه ساتع,national,,unit-service,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-sys-1,isfahan,پرتال کارآفرینی و رشد فناوری,innovation,,,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-thesis,isfahan,سامانه پایان‌نامه,research,,unit-service,https://research.ui.ac.ir/,verified,2026-08-10
kharazmi-ris,kharazmi,سامانه اطلاعات پژوهشی,research,https://ris.khu.ac.ir/,unit-service,https://research.khu.ac.ir/,verified,2026-08-10
kharazmi-scimet,kharazmi,سامانه علم‌سنجی,research,https://scimet.khu.ac.ir/,unit-service,https://research.khu.ac.ir/,verified,2026-08-10
kharazmi-sys-1,kharazmi,سامانه اطلاعات پژوهشی,research,,,https://research.khu.ac.ir/,verified,2026-08-10
kharazmi-sys-2,kharazmi,سامانه علم‌سنجی,research,,,https://research.khu.ac.ir/,verified,2026-08-10
kharazmi-sys-3,kharazmi,سامانه نشریات,journals,,,https://research.khu.ac.ir/,verified,2026-08-10
kharazmi-sys-4,kharazmi,کتابخانه دیجیتال,library,,,https://research.khu.ac.ir/,verified,2026-08-10
allameh-sys-1,allameh,سامانه اخلاق در پژوهش,research,,,https://research.atu.ac.ir/fa,verified,2026-08-10
allameh-sys-2,allameh,کتابخانه دیجیتال,library,,,https://research.atu.ac.ir/fa,verified,2026-08-10
semnan-central-lab,semnan,سامانه آزمایشگاه مرکزی,laboratory,https://centrallab.semnan.ac.ir/,unit-service,https://research.semnan.ac.ir/,verified,2026-08-10
semnan-sampad,semnan,سامانه مدیریت پژوهانه,research,https://sampad.semnan.ac.ir/,unit-service,https://research.semnan.ac.ir/,verified,2026-08-10
semnan-shaa,semnan,شبکه آزمایشگاه‌های علمی ایران (شاعا),national,https://shaa.msrt.ir/,national-related-system,https://research.semnan.ac.ir/,verified,2026-08-10
semnan-sima,semnan,سامانه پژوهشی سیما,research,https://sima.semnan.ac.ir/,unit-service,https://research.semnan.ac.ir/,verified,2026-08-10
semnan-sys-1,semnan,سامانه مدیریت پژوهانه,research,,,https://research.semnan.ac.ir/,verified,2026-08-10
semnan-sys-2,semnan,سامانه پژوهشی سیما,research,,,https://research.semnan.ac.ir/,verified,2026-08-10
semnan-sys-3,semnan,سامانه آزمایشگاه مرکزی,laboratory,,,https://research.semnan.ac.ir/,verified,2026-08-10
semnan-sys-4,semnan,شاعا,national,,,https://research.semnan.ac.ir/,verified,2026-08-10
semnan-sys-5,semnan,پایگاه نشریات و انتشارات,journals,,,https://research.semnan.ac.ir/,verified,2026-08-10
shahid-chamran-ahvaz-sys-1,shahid-chamran-ahvaz,سامانه مدیریت نشریات,journals,,,https://research.scu.ac.ir/,verified,2026-08-10
shahid-chamran-ahvaz-sys-2,shahid-chamran-ahvaz,سامانه اخلاق پژوهش,national,,,https://research.scu.ac.ir/,verified,2026-08-10
qom-conf,qom,سامانه همایش‌های دانشگاه,research,https://conf.qom.ac.ir/,unit-service,https://research.qom.ac.ir/,verified,2026-08-10
qom-journals,qom,سامانه مدیریت نشریات علمی,journals,https://journals.qom.ac.ir/,unit-service,https://research.qom.ac.ir/,verified,2026-08-10
qom-publishing,qom,سامانه انتشارات دانشگاه,publishing,https://book.qom.ac.ir/,unit-service,https://research.qom.ac.ir/,verified,2026-08-10
alzahra-sys-1,alzahra,سامانه تام,innovation,,,https://research.alzahra.ac.ir/,verified,2026-08-10
alzahra-sys-2,alzahra,سامانه اخلاق پژوهش,research,,,https://research.alzahra.ac.ir/,verified,2026-08-10
alzahra-sys-3,alzahra,سامانه کتاب,library,,,https://research.alzahra.ac.ir/,verified,2026-08-10
alzahra-sys-4,alzahra,سامانه نشریات علمی,journals,,,https://research.alzahra.ac.ir/,verified,2026-08-10
alzahra-sys-5,alzahra,جستجوی منابع کتابخانه,library,,,https://research.alzahra.ac.ir/,verified,2026-08-10
iust-sys-1,iust,شبکه آزمایشگاه‌های علمی ایران (شاعا),national,,,https://research.iust.ac.ir/,verified,2026-08-10
iust-sys-2,iust,سامانه‌های مرتبط معاونت,research,,,https://research.iust.ac.ir/,verified,2026-08-10
sharif-sys-1,sharif,سامانه اطلاعات اعضای هیئت علمی,research,,,https://research.sharif.ir/,verified,2026-08-10
sharif-sys-2,sharif,سامانه مدیریت دانش,research,,,https://research.sharif.ir/,verified,2026-08-10
sharif-sys-3,sharif,ICT دانشگاه - لینک مرتبط، نه زیرمجموعه,it-linked,,,https://research.sharif.ir/,verified,2026-08-10
amirkabir-sys-1,amirkabir,جستجوی منابع کتابخانه,library,,,https://research.aut.ac.ir/,verified,2026-08-10
amirkabir-sys-2,amirkabir,کتابخانه دیجیتال,library,,,https://research.aut.ac.ir/,verified,2026-08-10
amirkabir-sys-3,amirkabir,خدمات آزمایشگاه مرکزی,laboratory,,,https://research.aut.ac.ir/,verified,2026-08-10
amirkabir-sys-4,amirkabir,سامانه گرنت,research,,,https://research.aut.ac.ir/,verified,2026-08-10
amirkabir-sys-5,amirkabir,سامانه نشریات,journals,,,https://research.aut.ac.ir/,verified,2026-08-10
kntu-sys-1,kntu,سیستم پژوهشی گلستان,research,,,https://research.kntu.ac.ir/,verified,2026-08-10
kntu-sys-2,kntu,سامانه علم‌سنجی,research,,,https://research.kntu.ac.ir/,verified,2026-08-10
kntu-sys-3,kntu,رزومه اساتید,research,,,https://research.kntu.ac.ir/,verified,2026-08-10
kntu-sys-4,kntu,توانمندی پژوهشی و آزمایشگاهی,laboratory,,,https://research.kntu.ac.ir/,verified,2026-08-10
kntu-sys-5,kntu,شاعا,national,,,https://research.kntu.ac.ir/,verified,2026-08-10
kntu-sys-6,kntu,مرکز فناوری اطلاعات - لینک مرتبط,it-linked,,,https://research.kntu.ac.ir/,verified,2026-08-10
isfahan-technology-sys-1,isfahan-technology,سامانه مپفا,national,,,https://research.iut.ac.ir/,verified,2026-08-10
isfahan-technology-sys-2,isfahan-technology,سامانه ساجد,national,,,https://research.iut.ac.ir/,verified,2026-08-10
isfahan-technology-sys-3,isfahan-technology,سامانه ساتع,national,,,https://research.iut.ac.ir/,verified,2026-08-10
isfahan-technology-sys-4,isfahan-technology,نمایشگاه فناوری دانشگاه,innovation,,,https://research.iut.ac.ir/,verified,2026-08-10
isfahan-technology-sys-5,isfahan-technology,راهبردها و اسناد پژوهش,research,,,https://research.iut.ac.ir/,verified,2026-08-10
qom-technology-sys-1,qom-technology,سامانه علم‌سنجی,research,,,https://qut.ac.ir/fa/researches/index,verified,2026-08-10
qom-technology-sys-2,qom-technology,ERP خدمات پژوهشی,research,,,https://qut.ac.ir/fa/researches/index,verified,2026-08-10
qom-technology-sys-3,qom-technology,فهرست مجلات علمی,journals,,,https://qut.ac.ir/fa/researches/index,verified,2026-08-10
qom-technology-sys-4,qom-technology,HPC - سرویس مرتبط,it-linked,,,https://qut.ac.ir/fa/researches/index,verified,2026-08-10
iran-art-sys-1,iran-art,خدمات IT و هوشمندسازی,it,,,https://research.art.ac.ir/fa,verified,2026-08-10
iran-art-sys-2,iran-art,پرتال کتابخانه,library,,,https://research.art.ac.ir/fa,verified,2026-08-10
iran-art-sys-3,iran-art,پرتال آزمایشگاه مرکزی,laboratory,,,https://research.art.ac.ir/fa,verified,2026-08-10
iran-art-sys-4,iran-art,پرتال ارتباط با جامعه,industry,,,https://research.art.ac.ir/fa,verified,2026-08-10
iran-art-sys-5,iran-art,پرتال انتشارات,publishing,,,https://research.art.ac.ir/fa,verified,2026-08-10
arak-zhiro,arak,سامانه ژیرو,research,https://rd.araku.ac.ir/,unit-service,https://research.araku.ac.ir/,verified,2026-08-10
arak-journals,arak,سامانه نشریات علمی,journals,https://journals.araku.ac.ir/,unit-service,https://research.araku.ac.ir/,verified,2026-08-10
arak-press,arak,سامانه انتشارات,publishing,https://press.araku.ac.ir/,unit-service,https://research.araku.ac.ir/,verified,2026-08-10
arak-sate,arak,سامانه ساتع,industry,https://sate.atf.gov.ir/,national-related-system,https://research.araku.ac.ir/,verified,2026-08-10
iust-scimet,iust,سامانه علم‌سنجی اساتید,research,https://scimet.iust.ac.ir/,unit-service,https://research.iust.ac.ir/,verified,2026-08-10
iust-cv,iust,سامانه رزومه اساتید,research,https://its.iust.ac.ir/,unit-service,https://research.iust.ac.ir/,verified,2026-08-10
iust-golestan,iust,سامانه جامع گلستان,research,https://golestan.iust.ac.ir/,unit-service,https://research.iust.ac.ir/,verified,2026-08-10
iust-nan,iust,سامانه نان,innovation,https://nan.ac/,national-related-system,https://research.iust.ac.ir/,verified,2026-08-10
iust-shaa,iust,سامانه شاعا,national,https://emshaa.msrt.ir/,national-related-system,https://research.iust.ac.ir/,verified,2026-08-10
iust-sate,iust,سامانه ساتع,industry,https://sate.atf.gov.ir/,national-related-system,https://research.iust.ac.ir/,verified,2026-08-10
iust-mapfa,iust,سامانه مپفا,industry,https://mapfa.msrt.ir/,national-related-system,https://research.iust.ac.ir/,verified,2026-08-10
iust-sajed,iust,سامانه ساجد,industry,https://sajed.msrt.ir/,national-related-system,https://research.iust.ac.ir/,verified,2026-08-10
iust-jcr,iust,سامانه نشریات علمی ISC,journals,https://jcr.isc.ac/,national-related-system,https://research.iust.ac.ir/,verified,2026-08-10
shahed-library-search,shahed,جستجوی منابع کتابخانه (KDR),library,https://lib.shahed.ac.ir/,unit-service,https://library.shahed.ac.ir/,verified,2026-08-10
shahed-scimet,shahed,سامانه علم‌سنجی دانشگاه شاهد (سایمت),research,https://scimet.shahed.ac.ir/,unit-service,https://library.shahed.ac.ir/,verified,2026-08-10
shahed-megapaper,shahed,سامانه تأمین مدارک علمی مگاپیپر,library,https://megapaper.ir/,linked-from-portal,https://library.shahed.ac.ir/,verified,2026-08-10
ferdowsi-discovery-system-902fee1eaef7,ferdowsi,راهنمایی پارسا (رساله دکتری و پایان نامه کارشناسی ارشد),research,https://vpr.um.ac.ir/index.php/fa/faculty/dissertation-guidance-capacity,research-portal-discovery,https://vpr.um.ac.ir/index.php/fa/faculty/grant2,verified,2026-08-11
shahid-beheshti-discovery-system-825d81952cfd,shahid-beheshti,سامانه‌ها و نرم‌افزارهای معاونت پژوهشی - معاونت پژوهشی و فناوری,research,https://resevp.sbu.ac.ir/systems,research-portal-discovery,https://resevp.sbu.ac.ir/,verified,2026-08-11
shahid-beheshti-discovery-system-7ab3eddd68f9,shahid-beheshti,سامانه‌ها و نرم‌افزارهای معاونت پژوهشی - معاونت پژوهشی و فناوری,research,https://resevp.sbu.ac.ir/fa/systems,research-portal-discovery,https://resevp.sbu.ac.ir/fa/w/%D8%A8%D8%B1%D9%BE%D8%A7%DB%8C%DB%8C-%D8%BA%D8%B1%D9%81%D9%87-%C2%AB%D8%AF%D8%A7%D9%86%D8%B4%D9%85%D9%86%D8%AF%D8%A7%D9%86-%D8%A2%DB%8C%D9%86%D8%AF%D9%87%C2%BB-%D8%A7%D8%B2-%D8%B3%D9%88%DB%8C-%DA%A9%D8%AA%D8%A7%D8%A8%D8%AE%D8%A7%D9%86%D9%87-%D9%85%D8%B1?redirect=%2F,verified,2026-08-11
shahid-beheshti-discovery-system-f06e5cb98344,shahid-beheshti,سامانه‌ها و نرم‌افزارهای معاونت پژوهشی - معاونت پژوهشی و فناوری,research,https://www.sbu.ac.ir/fa/web/resvp/systems,research-portal-discovery,https://www.sbu.ac.ir/fa/web/resvp/regulations,verified,2026-08-11
shiraz-discovery-system-fe995fb82df8,shiraz,سامانه ملی ثبت پروپوزال و پایان نامه / سامانه همانندجو - کتابخانه مرکزی و مرکز اسناد دانشگاه شیراز,library,https://centlib.shirazu.ac.ir/national-system-for-registering-proposals-and-thesis,research-portal-discovery,https://centlib.shirazu.ac.ir/,verified,2026-08-11
shiraz-discovery-system-f430c4e8058a,shiraz,فراخوان حمایت از پایان‌نامه‌های تحصیلات تکمیلی با محوریت چالش‌های بخش آب استان خراسان جنوبی - show-content - معاونت پژوهشی و فناوری,research,https://research.shirazu.ac.ir/-/%D9%81%D8%B1%D8%A7%D8%AE%D9%88%D8%A7%D9%86-%D8%AD%D9%85%D8%A7%DB%8C%D8%AA-%D8%A7%D8%B2-%D9%BE%D8%A7%DB%8C%D8%A7%D9%86%E2%80%8C%D9%86%D8%A7%D9%85%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C-%D8%AA%D8%AD%D8%B5%DB%8C%D9%84%D8%A7%D8%AA-%D8%AA%DA%A9%D9%85%DB%8C%D9%84%DB%8C-%D8%A8%D8%A7-%D9%85%D8%AD%D9%88%D8%B1%DB%8C%D8%AA-%DA%86%D8%A7%D9%84%D8%B4%E2%80%8C%D9%87%D8%A7%DB%8C-%D8%A8%D8%AE%D8%B4-%D8%A7%D8%A8-%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%AE%D8%B1%D8%A7%D8%B3%D8%A7%D9%86-%D8%AC%D9%86%D9%88%D8%A8%DB%8C,research-portal-discovery,https://research.shirazu.ac.ir/,verified,2026-08-11
shiraz-discovery-system-c3d32ca1f2ea,shiraz,پایگاه های اطلاعاتی پایان نامه - کتابخانه مرکزی و مرکز اسناد دانشگاه شیراز,library,https://centlib.shirazu.ac.ir/thesis,research-portal-discovery,https://centlib.shirazu.ac.ir/,verified,2026-08-11
shiraz-discovery-system-d47a9ca04dca,shiraz,پایان نامه (راهنمای استفاده و تسویه) - کتابخانه مرکزی و مرکز اسناد دانشگاه شیراز,library,https://centlib.shirazu.ac.ir/help-thesis,research-portal-discovery,https://centlib.shirazu.ac.ir/,verified,2026-08-11
shiraz-discovery-system-38dd6185075e,shiraz,پایان نامه ها - کتابخانه مرکزی و مرکز اسناد دانشگاه شیراز,library,https://centlib.shirazu.ac.ir/thesises,research-portal-discovery,https://centlib.shirazu.ac.ir/,verified,2026-08-11
shiraz-discovery-system-f593e55e8b9c,shiraz,مرکز علم سنجی و رتبه بندی دانشگاه - معاونت پژوهشی و فناوری,research,https://research.shirazu.ac.ir/cientometrics_ranks,research-portal-discovery,https://research.shirazu.ac.ir/,verified,2026-08-11
shiraz-discovery-system-4cecdc0da980,shiraz,دکتر هاجر ستوده، رئیس دفتر علم سنجی و ارزیابی مجلات - show-content - معاونت پژوهشی و فناوری,research,https://research.shirazu.ac.ir/-/%D8%AF%DA%A9%D8%AA%D8%B1-%D9%87%D8%A7%D8%AC%D8%B1-%D8%B3%D8%AA%D9%88%D8%AF%D9%87%D8%8C-%D8%B1%D8%A6%DB%8C%D8%B3-%D8%AF%D9%81%D8%AA%D8%B1-%D8%B9%D9%84%D9%85-%D8%B3%D9%86%D8%AC%DB%8C-%D9%88-%D8%A7%D8%B1%D8%B2%DB%8C%D8%A7%D8%A8%DB%8C-%D9%85%D8%AC%D9%84%D8%A7%D8%AA,research-portal-discovery,https://research.shirazu.ac.ir/%D8%AD%D9%88%D8%B2%D9%87-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA,verified,2026-08-11
shiraz-discovery-system-66c2f604f005,shiraz,سمیه یاری پور، کارشناس مسئول واحد علم سنجی - show-content - معاونت پژوهشی و فناوری,research,https://research.shirazu.ac.ir/-/%D8%B3%D9%85%DB%8C%D9%87-%DB%8C%D8%A7%D8%B1%DB%8C-%D9%BE%D9%88%D8%B1%D8%8C-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%85%D8%B3%D8%A6%D9%88%D9%84-%D9%88%D8%A7%D8%AD%D8%AF-%D8%B9%D9%84%D9%85-%D8%B3%D9%86%D8%AC%DB%8C,research-portal-discovery,https://research.shirazu.ac.ir/%D8%AD%D9%88%D8%B2%D9%87-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA,verified,2026-08-11
razi-discovery-system-b4ff4ed4cfe6,razi,سامانه ها - پرتال اصلی دانشگاه رازی,research,https://razi.ac.ir/systems,research-portal-discovery,https://are.razi.ac.ir/,verified,2026-08-11
razi-discovery-system-5024d3814727,razi,سامانه های تامین اعتبار پژوهشی - معاونت پژوهشی و فناوری,research,https://are.razi.ac.ir/%D8%B3%D8%A7%D9%85%D8%A7%D9%86%D9%87-%D9%87%D8%A7%DB%8C-%D8%AA%D8%A7%D9%85%DB%8C%D9%86-%D8%A7%D8%B9%D8%AA%D8%A8%D8%A7%D8%B1-%D9%BE%DA%98%D9%88%D9%87%D8%B4%DB%8C,research-portal-discovery,https://are.razi.ac.ir/,verified,2026-08-11
razi-discovery-system-5768cfaae5ca,razi,سامانه های تامین اعتبار پژوهشی - معاونت پژوهشی و فناوری,research,https://are.razi.ac.ir/fa/%D8%B3%D8%A7%D9%85%D8%A7%D9%86%D9%87-%D9%87%D8%A7%DB%8C-%D8%AA%D8%A7%D9%85%DB%8C%D9%86-%D8%A7%D8%B9%D8%AA%D8%A8%D8%A7%D8%B1-%D9%BE%DA%98%D9%88%D9%87%D8%B4%DB%8C,research-portal-discovery,https://are.razi.ac.ir/fa/w/%D8%A7%D8%B9%D9%84%D8%A7%D9%85-%D8%B6%D8%B1%DB%8C%D8%A8-%D8%AA%D8%A3%D8%AB%DB%8C%D8%B1-%D9%86%D8%B4%D8%B1%DB%8C%D8%A7%D8%AA-%D8%B9%D9%84%D9%85%DB%8C-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%AA%D9%88%D8%B3%D8%B7-%D9%85%D9%88%D8%B3%D8%B3%D9%87-%D8%A7?redirect=%2F,verified,2026-08-11
razi-discovery-system-a393d4d23fed,razi,اعلام ضریب تأثیر نشریات علمی دانشگاه توسط موسسه استنادی و پایش علم و فناوری جهان اسلام (ISC) - معاونت پژوهشی و فناوری,journals,https://are.razi.ac.ir/fa/w/%D8%A7%D8%B9%D9%84%D8%A7%D9%85-%D8%B6%D8%B1%DB%8C%D8%A8-%D8%AA%D8%A3%D8%AB%DB%8C%D8%B1-%D9%86%D8%B4%D8%B1%DB%8C%D8%A7%D8%AA-%D8%B9%D9%84%D9%85%DB%8C-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%AA%D9%88%D8%B3%D8%B7-%D9%85%D9%88%D8%B3%D8%B3%D9%87-%D8%A7?redirect=%2F,research-portal-discovery,https://are.razi.ac.ir/,verified,2026-08-11
mazandaran-discovery-system-8ff0c6cd13f1,mazandaran,بخش پایان‌نامه و اسناد دولتی - research,research,https://umz.ac.ir/web/research/thesis,research-portal-discovery,https://research.umz.ac.ir/library,verified,2026-08-11
imam-khomeini-international-discovery-system-3d97d9238be6,imam-khomeini-international,کسب عنوان برگزیده در بخش «پایان‌نامه‌ها و رساله‌های تقاضامحور سال ۱۴۰۴» توسط دانشجوی دانشگاه - پرتال خبری دانشگاه بین المللی امام خمینی(ره),research,https://ikiu.ac.ir/fa/web/news_portal/w/%DA%A9%D8%B3%D8%A8-%D8%B9%D9%86%D9%88%D8%A7%D9%86-%D8%A8%D8%B1%DA%AF%D8%B2%DB%8C%D8%AF%D9%87-%D8%AF%D8%B1-%D8%A8%D8%AE%D8%B4-%C2%AB%D9%BE%D8%A7%DB%8C%D8%A7%D9%86%E2%80%8C%D9%86%D8%A7%D9%85%D9%87%E2%80%8C%D9%87%D8%A7-%D9%88-%D8%B1%D8%B3%D8%A7%D9%84%D9%87?redirect=%2F,research-portal-discovery,https://ikiu.ac.ir/,verified,2026-08-11
shiraz-discovery-system-31995123bb9c,shiraz,فراخوان حمایت از پایان‌نامه‌های تحصیلات تکمیلی با محوریت چالش‌های بخش آب استان خراسان جنوبی - show-content - معاونت پژوهشی و فناوری,research,https://research.shirazu.ac.ir/ar/-/%D9%81%D8%B1%D8%A7%D8%AE%D9%88%D8%A7%D9%86-%D8%AD%D9%85%D8%A7%DB%8C%D8%AA-%D8%A7%D8%B2-%D9%BE%D8%A7%DB%8C%D8%A7%D9%86%E2%80%8C%D9%86%D8%A7%D9%85%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C-%D8%AA%D8%AD%D8%B5%DB%8C%D9%84%D8%A7%D8%AA-%D8%AA%DA%A9%D9%85%DB%8C%D9%84%DB%8C-%D8%A8%D8%A7-%D9%85%D8%AD%D9%88%D8%B1%DB%8C%D8%AA-%DA%86%D8%A7%D9%84%D8%B4%E2%80%8C%D9%87%D8%A7%DB%8C-%D8%A8%D8%AE%D8%B4-%D8%A7%D8%A8-%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%AE%D8%B1%D8%A7%D8%B3%D8%A7%D9%86-%D8%AC%D9%86%D9%88%D8%A8%DB%8C,research-portal-discovery,https://research.shirazu.ac.ir/ar/home,verified,2026-08-11
isfahan-discovery-system-b46bab23ce5a,isfahan,معاونت پژوهش و فناوری | مرکز پژوهشی پردازش و سامانه های هوشمند,research,https://research.ui.ac.ir/%D9%85%D8%B1%DA%A9%D8%B2-%D9%BE%DA%98%D9%88%D9%87%D8%B4%DB%8C-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D8%B4-%D9%88-%D8%B3%D8%A7%D9%85%D8%A7%D9%86%D9%87-%D9%87%D8%A7%DB%8C-%D9%87%D9%88%D8%B4%D9%85%D9%86%D8%AF,research-portal-discovery,https://www.ui.ac.ir/,verified,2026-08-11
isfahan-discovery-system-7704caf15255,isfahan,کتابخانه مرکزی دانشگاه اصفهان | خدمات پژوهشی و پایان نامه,library,https://library.ui.ac.ir/%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D9%BE%DA%98%D9%88%D9%87%D8%B4%DB%8C-%D9%88-%D9%BE%D8%A7%DB%8C%D8%A7%D9%86-%D9%86%D8%A7%D9%85%D9%87,research-portal-discovery,https://library.ui.ac.ir/%d8%a2%db%8c%db%8c%d9%86-%d9%86%d8%a7%d9%85%d9%87-%d9%87%d8%a7-%d9%88-%d9%81%d8%b1%d9%85-%d9%87%d8%a7-%d8%ac%d9%87%d8%aa-%d9%84%db%8c%d9%86%da%a9,verified,2026-08-11
isfahan-discovery-system-15abcfbca16f,isfahan,کتابخانه مرکزی دانشگاه اصفهان | چگونگی بارگذاری پایان نامه در نرم افزار کتابخانه مرکزی دانشگاه اصفهان,library,https://library.ui.ac.ir/%DA%86%DA%AF%D9%88%D9%86%DA%AF%DB%8C-%D8%A8%D8%A7%D8%B1%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C-%D9%BE%D8%A7%DB%8C%D8%A7%D9%86-%D9%86%D8%A7%D9%85%D9%87-%D8%AF%D8%B1-%D9%86%D8%B1%D9%85-%D8%A7%D9%81%D8%B2%D8%A7%D8%B1-%DA%A9%D8%AA%D8%A7%D8%A8%D8%AE%D8%A7%D9%86%D9%87-%D9%85%D8%B1%DA%A9%D8%B2%DB%8C-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86,research-portal-discovery,https://library.ui.ac.ir/%d8%a2%db%8c%db%8c%d9%86-%d9%86%d8%a7%d9%85%d9%87-%d9%87%d8%a7-%d9%88-%d9%81%d8%b1%d9%85-%d9%87%d8%a7-%d8%ac%d9%87%d8%aa-%d9%84%db%8c%d9%86%da%a9,verified,2026-08-11
isfahan-discovery-system-446eb532fd93,isfahan,کتابخانه مرکزی دانشگاه اصفهان | آدرس Email جهت ارسال pdf پایان نامه thesisdl@res.ui.ac.ir,library,https://library.ui.ac.ir/%D8%A2%D8%AF%D8%B1%D8%B3-Email-%D8%AC%D9%87%D8%AA-%D8%A7%D8%B1%D8%B3%D8%A7%D9%84-pdf-%D9%BE%D8%A7%DB%8C%D8%A7%D9%86-%D9%86%D8%A7%D9%85%D9%87-thesisdl@res%C2%B7ui%C2%B7ac%C2%B7ir-,research-portal-discovery,https://library.ui.ac.ir/%d8%a2%db%8c%db%8c%d9%86-%d9%86%d8%a7%d9%85%d9%87-%d9%87%d8%a7-%d9%88-%d9%81%d8%b1%d9%85-%d9%87%d8%a7-%d8%ac%d9%87%d8%aa-%d9%84%db%8c%d9%86%da%a9,verified,2026-08-11
isfahan-discovery-system-c2d2ac1b990d,isfahan,کتابخانه مرکزی دانشگاه اصفهان | اعلام شماره ی شبا جهت بخش پایان نامه ها,library,https://library.ui.ac.ir/%D8%A7%D8%B9%D9%84%D8%A7%D9%85-%D8%B4%D9%85%D8%A7%D8%B1%D9%87-%DB%8C-%D8%B4%D8%A8%D8%A7-%D8%AC%D9%87%D8%AA-%D8%A8%D8%AE%D8%B4-%D9%BE%D8%A7%DB%8C%D8%A7%D9%86-%D9%86%D8%A7%D9%85%D9%87-%D9%87%D8%A7,research-portal-discovery,https://library.ui.ac.ir/%d8%a2%db%8c%db%8c%d9%86-%d9%86%d8%a7%d9%85%d9%87-%d9%87%d8%a7-%d9%88-%d9%81%d8%b1%d9%85-%d9%87%d8%a7-%d8%ac%d9%87%d8%aa-%d9%84%db%8c%d9%86%da%a9,verified,2026-08-11
